Predicted: 842.4629681061872, Target: [950.]
Predicted: 423.8883902255268, Target: [330.]
Predicted: 291.8586139069922, Target: [252.]
Predicted: 455.3046548347785, Target: [412.]
Predicted: 494.7682771972866, Target: [335.]
Predicted: 667.948237128894, Target: [750.]
Predicted: 402.87742015224535, Target: [408.]
Predicted: 554.5929927058357, Target: [680.]
Predicted: 534.9855874446323, Target: [450.]
Predicted: 1600.6944987192462, Target: [2500.]
Predicted: 663.8626883005168, Target: [620.]
Predicted: 642.5175249439118, Target: [749.]
Predicted: 300.98344396614937, Target: [170.]
Predicted: 509.81158694494013, Target: [595.]
Predicted: 280.76999112958214, Target: [228.]
Predicted: 406.9131332361869, Target: [395.]
Predicted: 228.54775542480814, Target: [220.]
Predicted: 672.1636959906517, Target: [780.]
Predicted: 1003.4838216286917, Target: [740.]
Predicted: 277.9942041930197, Target: [265.]
Predicted: 293.80907827757403, Target: [325.]
Predicted: 1404.05966485078, Target: [1800.]
Predicted: 195.50742825259778, Target: [279.]
Predicted: 199.82421071914678, Target: [205.]
Predicted: 484.8596031844156, Target: [355.]
Predicted: 480.73728623638874, Target: [588.]
Predicted: 447.6529848157786, Target: [430.]
Predicted: 489.7213172942161, Target: [484.]
Predicted: 938.5677982525217, Target: [498.]
Predicted: 447.3705922160806, Target: [355.]
Predicted: 496.88024357537086, Target: [470.]
Predicted: 319.3756373385941, Target: [430.]
Predicted: 1177.3480406055596, Target: [850.]
Predicted: 531.445031408725, Target: [358.]
Predicted: 560.3774976526494, Target: [630.]
Predicted: 625.728476917108, Target: [700.]
Predicted: 614.1395708493903, Target: [510.]
Predicted: 758.5464602674155, Target: [1200.]
Predicted: 218.70279573613203, Target: [215.]
Predicted: 888.2232240421267, Target: [1268.]
Predicted: 1200.581828537919, Target: [1390.]
Predicted: 192.2717650385872, Target: [260.]
Predicted: 518.0135934647205, Target: [500.]
Predicted: 655.3051632524732, Target: [650.]
Predicted: 420.0885788632471, Target: [382.]
Predicted: 155.15228612636088, Target: [178.]
Predicted: 466.31721425968556, Target: [380.]
Predicted: 238.0550667819674, Target: [190.]
Predicted: 445.57024888896785, Target: [466.]
Predicted: 413.5129472709517, Target: [540.]
Predicted: 396.5348000346826, Target: [340.]
Predicted: 537.539367939211, Target: [450.]
Predicted: 721.4848722781974, Target: [740.]
Predicted: 647.1496585935317, Target: [510.]
Predicted: 456.43993323301174, Target: [285.]
Predicted: 491.45956923584504, Target: [390.]
Predicted: 234.02580941668265, Target: [180.]
Predicted: 344.24870461892215, Target: [345.]
Predicted: 299.15523414613966, Target: [295.]
Predicted: 703.9323654155127, Target: [535.]
Predicted: 368.3723380864959, Target: [300.]
Predicted: 270.22755494564734, Target: [222.]
Predicted: 808.1533493320773, Target: [930.]
Predicted: 517.0036334818656, Target: [290.]
Predicted: 467.70878303396694, Target: [390.]
Predicted: 708.7836029480952, Target: [660.]
Predicted: 564.5194376048473, Target: [388.]
Predicted: 567.5451567458587, Target: [500.]
Predicted: 581.3515875703742, Target: [660.]
Predicted: 508.4570375560131, Target: [330.]
Predicted: 663.0096680650622, Target: [720.]
Predicted: 6.767615569744493, Target: [133.]
Predicted: 1076.148006604473, Target: [1100.]
Predicted: 1011.179554407333, Target: [570.]
Predicted: 312.2967277723551, Target: [230.]
Predicted: 718.212137364893, Target: [465.]
Predicted: 519.2093656279013, Target: [660.]
Predicted: 252.51454235102847, Target: [266.]
Predicted: 725.1828142289908, Target: [750.]
Predicted: 404.520710797731, Target: [280.]
