Predicted: 323.7319696969697, Target: [285.]
Predicted: 347.53228228228227, Target: [390.]
Predicted: 205.07536178124656, Target: [180.]
Predicted: 338.38642746733944, Target: [345.]
Predicted: 285.6177320579682, Target: [295.]
Predicted: 507.0, Target: [535.]
Predicted: 308.30815655746085, Target: [300.]
Predicted: 247.23030443114754, Target: [222.]
Predicted: 845.0995020084099, Target: [930.]
Predicted: 362.6778874134872, Target: [290.]
Predicted: 379.969054665328, Target: [390.]
Predicted: 684.7117373199569, Target: [660.]
Predicted: 434.5492172953947, Target: [388.]
Predicted: 438.2, Target: [500.]
Predicted: 684.2767543514202, Target: [660.]
Predicted: 375.1566432619458, Target: [330.]
Predicted: 568.78125, Target: [720.]
Predicted: 156.87, Target: [133.]
Predicted: 1051.7, Target: [1100.]
Predicted: 1571.0, Target: [570.]
Predicted: 306.55260077271566, Target: [230.]
Predicted: 579.0726508785333, Target: [465.]
Predicted: 304.9521564442411, Target: [660.]
Predicted: 278.95815805850805, Target: [266.]
Predicted: 668.5, Target: [750.]
Predicted: 366.2769686770432, Target: [280.]
Predicted: 288.20602561852957, Target: [265.]
Predicted: 708.6635572183966, Target: [680.]
Predicted: 293.52190476190475, Target: [460.]
Predicted: 1110.1173069985568, Target: [1220.]
Predicted: 518.3126574569221, Target: [480.]
Predicted: 231.17618522660578, Target: [280.]
Predicted: 267.3, Target: [210.]
Predicted: 272.23422033333975, Target: [267.]
Predicted: 234.51337176134115, Target: [220.]
Predicted: 217.00051868145206, Target: [250.]
Predicted: 492.3, Target: [360.]
Predicted: 357.68734990291966, Target: [445.]
Predicted: 326.3964696247138, Target: [284.]
Predicted: 195.51027348747743, Target: [199.]
R-squared: 0.87

